Gene,Degree,Betweenness,Closeness,EigenCentrality,Eccentricity,ClosenessLatora,ClosenessResidual,Decay,Geokpath,Laplacian,Leverage,Lobby,Mnc,Semilocal,Topocoefficient,Kcore,ClusteringCoefficient,CrRatio,Class
GCLM,1,0,1.56E-09,6.95E-18,1,1,1.5,2,1,4,0,1,1,1,,1,0,1,NotCR
AHCYL1,10,4983.896844,1.45E-08,0.004225549,0.066666667,5118.939427,1203.83902,166,3962,422,-0.032523238,8,1,191309,9.657534247,6,0,0,NotCR
DHX9,46,114772.5035,1.45E-08,0.18637558,0.066666667,6311.159454,2019.002197,4568,9623,11206,-0.197396154,38,43,6420387,22.05842,18,0.163285024,0,NotCR
ITGB1,51,379142.0337,1.45E-08,0.047660843,0.066666667,6232.08618,1971.372406,4492,9660,11534,0.171079715,26,27,4721594,21.57071848,15,0.039215686,0,NotCR
MAPK8,62,258986.499,1.45E-08,0.101521947,0.066666667,6325.919034,2034.71994,3572,10138,10926,0.322406759,30,53,4933889,36.37475007,17,0.051295611,0.032258065,NotCR
EIF4EBP2,1,0,1.45E-08,0.000417246,0.058823529,4421.08873,766.0683594,21,560,42,-0.904761905,1,1,20725,1,1,0,0,CR
VCL,16,30952.75201,1.45E-08,0.027769937,0.066666667,5935.997328,1758.923981,999,8820,2238,-0.278169119,13,9,1290744,13.06122449,11,0.108333333,0,NotCR
AP3M1,9,6628.116468,1.45E-08,0.000635859,0.0625,4764.154403,981.9471283,88,1779,248,0.163651055,6,5,45172,7.56,4,0.166666667,0,NotCR
ILK,37,153155.295,1.45E-08,0.042213119,0.066666667,5903.461566,1730.664276,1237,8585,3806,0.244919766,20,18,1810428,20.90219224,15,0.066066066,0,NotCR
PEX16,1,0,1.45E-08,0.000172849,0.058823529,4455.462984,802.8202515,29,995,58,-0.931034483,1,1,21298,1,1,0,0,NotCR
DGKZ,3,132.2724034,1.45E-08,0.022730668,0.066666667,5604.692086,1524.345734,588,6164,1182,-0.890041545,3,2,900722,2.835616438,3,0.333333333,0.333333333,NotCR
PRPF19,59,120215.7649,1.45E-08,0.072956166,0.066666667,5876.889175,1717.560394,2398,7813,8218,0.386676716,26,50,2978555,27.39828326,16,0.123319696,0,NotCR
PRDX5,9,1995.754234,1.45E-08,0.005787904,0.0625,5299.019081,1317.176636,222,4319,516,-0.346247688,9,9,276483,6.971830986,8,0.305555556,0.444444444,NotCR
PYGM,2,691.6066112,1.45E-08,0.000493034,0.0625,4621.341037,888.3002014,71,1235,144,-0.812820513,2,1,46434,2,2,0,0,NotCR
ATG2A,2,206.9680459,1.45E-08,1.63E-05,0.058823529,3966.746793,535.1291962,12,111,26,-0.377777778,2,1,4153,2,2,0,0,NotCR
SCYL1,4,2620.363884,1.45E-08,0.001907533,0.0625,5015.299438,1139.517197,186,2694,384,-0.368757259,4,1,191421,4,3,0,0,NotCR
RPS6KB2,21,32842.87482,1.45E-08,0.16269928,0.071428571,5919.987068,1737.160278,1730,8507,3880,-0.501269708,21,18,2696915,9.835287222,18,0.3,0,NotCR
DSYN1,4,3085.704494,1.45E-08,0.005106662,0.0625,5181.742938,1239.94873,173,3841,358,-0.394937055,4,1,245458,3.878787879,3,0,0,NotCR
GYS2,2,0,1.45E-08,0.028072442,0.066666667,5607.000816,1526.531281,695,6173,1392,-0.987133337,2,2,1085933,1.682539683,2,1,0,NotCR
DNM1L,12,26849.73191,1.45E-08,0.013875751,0.066666667,5574.605012,1498.41153,590,5881,1312,-0.293437088,10,2,712673,10.65263158,8,0.03030303,0,NotCR
PCBP2,15,9588.76145,1.45E-08,0.045557162,0.066666667,5901.430841,1734.147369,1333,8189,2876,-0.547165132,14,14,1851009,10.99088838,13,0.20952381,0,NotCR
SIRT4,3,30.44081661,1.45E-08,0.005969216,0.0625,5083.303695,1180.799911,126,3219,258,-0.702943723,3,2,179539,2.87704918,3,0.333333333,0,NotCR
VPS33A,6,345.4156495,1.45E-08,0.000589278,0.0625,4689.792847,927.6829071,94,1116,218,-0.356410256,6,6,51325,3.340909091,5,0.666666667,0,NotCR
PGAM5,11,12491.00807,1.45E-08,0.011968805,0.0625,5574.700691,1514.321777,657,6202,1424,-0.635616811,11,3,710095,9.338006231,11,0.072727273,0,NotCR
SGCG,4,2532.833791,1.45E-08,0.001348026,0.0625,4997.196707,1124.224136,64,2731,140,-0.56043956,4,3,61106,3.661016949,4,0.333333333,0,NotCR
PYGL,2,377.0207098,1.45E-08,0.001580338,0.0625,4821.05411,997.7835693,56,1618,114,-0.462962963,2,1,70354,2,2,0,0,NotCR
ATG2B,2,889.2563485,1.45E-08,0.000201748,0.058823529,4353.759762,724.8207932,17,255,36,-0.457142857,2,1,13722,2,2,0,0,NotCR
SMAD3,114,821516.82,1.45E-08,0.204931967,0.071428571,6674.832523,2265.805725,6366,11565,25614,0.499342277,42,105,9176934,50.08841903,18,0.064275734,0.035087719,NotCR
AP3B2,2,409.1650991,1.45E-08,0.00190056,0.0625,4866.725654,1036.833725,69,2165,140,-0.811671088,2,1,91976,2,2,0,0,NotCR
TSC2,23,95802.23276,1.45E-08,0.046643588,0.066666667,6017.567535,1810.484863,1611,8784,3728,-0.225419925,17,17,2140834,16.16687737,13,0.122529644,0.130434783,CR
E4F1,7,698.1002702,1.45E-08,0.037532416,0.066666667,5726.30785,1607.350067,1052,6746,2146,-0.747913961,7,5,1545765,5.503355705,7,0.333333333,0.142857143,NotCR
SLC7A5,1,0,1.45E-08,0.001045398,0.0625,4845.155741,1018.268311,130,1599,260,-0.984615385,1,1,115735,1,1,0,0,NotCR
YWHAE,114,683565.0208,1.45E-08,0.142303252,0.066666667,6596.372766,2218.791992,4800,11701,22482,0.574913915,39,92,6526068,59.10205832,18,0.045800342,0.035087719,NotCR
GABARAP,31,93029.32945,1.45E-08,0.01384003,0.0625,5753.257642,1635.652405,786,7626,2502,0.32721098,15,14,851200,22.35175202,11,0.03655914,0.032258065,CR
ULK2,1,0,1.45E-08,0.000145294,0.058823529,4252.02475,673.6268005,12,337,24,-0.833333333,1,1,10412,1,1,0,0,NotCR
NF1,9,11928.0941,1.45E-08,0.016933146,0.0625,5727.57442,1617.317993,1074,7033,2220,-0.475964852,7,4,1198980,6.745762712,6,0.166666667,0,NotCR
ACLY,15,21210.12944,1.45E-08,0.026367539,0.066666667,5826.317896,1677.660217,1221,7274,2652,-0.412310859,13,7,1446128,12.28179551,12,0.114285714,0,NotCR
EZH1,6,18.17043718,1.45E-08,0.009250228,0.0625,5102.033691,1185.206848,261,3183,552,-0.622646865,6,6,376274,3.764705882,6,0.8,0,NotCR
ERN1,11,7395.277077,1.45E-08,0.025048212,0.066666667,5738.623651,1618.564423,927,7142,1964,-0.586438004,11,4,1212446,9.184818482,10,0.054545455,0.090909091,CR
SMAD2,62,183890.6603,1.45E-08,0.147281293,0.071428571,6439.18411,2105.95929,4606,10689,12994,0.192321563,34,59,6564452,30.05109007,18,0.121628768,0.064516129,NotCR
