Gene,Adipose...Subcutaneous,Adipose...Visceral..Omentum.,Adrenal.Gland,Artery...Aorta,Artery...Coronary,Artery...Tibial,Bladder,Brain...Amygdala,Brain...Anterior.cingulate.cortex..BA24.,Brain...Caudate..basal.ganglia.,Brain...Cerebellar.Hemisphere,Brain...Cerebellum,Brain...Cortex,Brain...Frontal.Cortex..BA9.,Brain...Hippocampus,Brain...Hypothalamus,Brain...Nucleus.accumbens..basal.ganglia.,Brain...Putamen..basal.ganglia.,Brain...Spinal.cord..cervical.c.1.,Brain...Substantia.nigra,Breast...Mammary.Tissue,Cells...Cultured.fibroblasts,Cells...EBV.transformed.lymphocytes,Cervix...Ectocervix,Cervix...Endocervix,Colon...Sigmoid,Colon...Transverse,Esophagus...Gastroesophageal.Junction,Esophagus...Mucosa,Esophagus...Muscularis,Fallopian.Tube,Heart...Atrial.Appendage,Heart...Left.Ventricle,Kidney...Cortex,Kidney...Medulla,Liver,Lung,Minor.Salivary.Gland,Muscle...Skeletal,Nerve...Tibial,Ovary,Pancreas,Pituitary,Prostate,Skin...Not.Sun.Exposed..Suprapubic.,Skin...Sun.Exposed..Lower.leg.,Small.Intestine...Terminal.Ileum,Spleen,Stomach,Testis,Thyroid,Uterus,Vagina,Whole.Blood,Class
TCIRG1,108.216,105.851,168.91,135.343,120.448,91.3088,119.907,5.40041,4.65501,6.96714,4.95625,7.04708,7.35549,5.05584,6.05483,8.39823,5.07968,6.86422,14.5057,8.79828,97.7487,83.2874,168.396,190.217,257.39,106.252,100.474,91.5867,56.0354,85.8779,153.382,27.2665,15.8577,35.5368,43.0992,45.389,249.101,99.4983,8.75449,110.58,113.583,150.055,36.9743,148.202,37.0933,37.0418,144.971,357.432,82.9258,17.1975,126.071,167.968,121.446,473.687,NotCR
PPFIA1,20.7986,17.6531,12.1391,18.7139,16.4952,20.3125,15.5555,9.55587,9.11581,10.7062,24.0651,23.3513,10.7383,10.4994,8.34278,9.38932,9.80503,8.75097,12.7892,9.41736,19.2451,19.5208,9.76447,19.498,18.8982,14.5228,12.6509,14.1051,11.3721,14.3736,17.9962,7.13668,5.4687,8.23686,10.0895,5.88975,21.6741,12.5618,10.8891,24.0092,19.5648,5.44156,25.7281,14.9229,16.8776,16.9852,13.5154,12.8952,9.31343,30.5373,20.6756,21.1155,15.2682,6.39401,NotCR
NADSYN1,18.2937,19.0191,16.916,21.465,21.4019,18.155,30.1478,5.69288,5.02212,6.64694,18.8623,20.3074,7.16157,6.02562,6.57466,8.2991,7.46669,6.12787,13.6233,7.9393,19.5332,21.1641,30.4173,23.9927,30.7731,18.8414,27.4024,19.3315,28.9212,19.3905,34.5752,7.13953,4.22321,11.9124,13.7349,11.919,29.2537,19.8859,3.59324,25.8191,28.2473,7.56518,26.7413,34.0813,20.7623,21.4514,32.6205,38.3107,16.9743,25.5306,30.0667,26.3604,27.4502,25.3742,NotCR
RAB6A,103.406,90.5974,67.0189,150.735,135.103,159.362,91.8656,99.275,135.868,104.657,193.285,130.649,117.773,202.572,99.2427,126.698,126.98,80.9675,132.596,94.1641,88.3703,107.394,59.1358,115.673,105.194,96.3144,69.516,90.4183,111.721,96.0084,95.9366,54.6995,33.2741,42.6198,59.5166,39.1005,111.424,68.1672,52.8642,142.998,93.2709,26.6804,66.6531,81.3929,86.4586,93.1947,65.145,55.2205,43.211,44.7769,102.475,113.361,121.583,27.2369,NotCR
UCP2,34.0201,58.4839,20.4568,16.9553,26.2944,10.7679,20.8403,5.00952,3.26642,7.90906,1.64174,1.65475,3.45328,3.51893,5.30617,9.35861,4.20082,5.54942,16.0613,8.20929,44.7172,0.794022,189.496,5.05667,12.3894,13.1997,22.0166,14.2935,6.25595,13.2513,23.6876,5.25951,5.57366,13.6463,29.2997,3.01687,68.5859,35.4293,52.122,24.0958,4.43127,4.06133,18.6631,18.5043,9.7818,8.3031,46.9133,245.097,22.5013,24.3115,67.675,7.64049,6.14569,175.382,NotCR
ARRB1,32.9734,31.3535,6.86487,7.12013,13.2679,5.40269,22.5549,23.1576,32.1522,29.2331,33.4486,39.0127,33.5546,31.046,16.7844,20.7126,34.3351,23.9467,7.72446,20.8484,30.7019,9.25072,2.39428,15.2649,15.9635,33.3892,26.5208,49.3695,8.90607,44.042,18.4159,7.58406,6.05821,7.23018,11.5665,3.39652,49.8262,13.987,3.15544,18.0044,15.7176,9.26514,3.63091,23.0488,14.9687,14.2545,23.3375,39.018,30.3456,3.88392,13.0505,15.3319,15.3497,17.9144,NotCR
RPS3,365.196,387.111,221.841,382.755,364.193,368.636,464.172,98.7468,74.5814,94.3732,167.359,144.082,71.2024,77.8158,79.1564,94.5905,117.709,85.1084,162.864,108.466,474.784,766.492,932.229,740.42,728.652,375.249,344.584,345.905,503.124,314.914,567.271,144.238,92.4253,132.474,194.454,101.314,377.208,334.693,149.434,408.061,1321.13,251.127,311.437,437.776,611.826,588.8,372.766,528.221,303.989,159.639,369.678,624.646,581.152,188.611,NotCR
ACER3,12.9253,11.2995,4.26154,5.4818,7.35264,5.84464,6.50677,6.05922,6.31252,6.07885,8.91113,8.37574,6.13086,7.89966,8.18975,7.70827,5.56656,5.63837,20.2319,10.0805,9.35095,9.32634,3.90966,12.6081,11.3204,5.8874,7.19585,5.91421,8.60962,6.19451,9.60499,3.1642,2.01119,3.44893,4.75259,1.56442,16.2021,6.70848,1.25124,19.1316,4.79191,1.99782,3.80408,7.21729,4.89046,5.12178,7.75347,9.502,3.99655,8.46451,7.79482,10.2132,9.02986,5.64084,NotCR
PAK1,14.1141,14.1005,12.4819,21.7491,17.8759,18.4808,32.4054,31.9014,68.2565,22.1374,161.743,134.321,114.364,161.854,20.8532,27.851,33.9173,16.2076,14.3317,14.5051,17.282,25.9322,108.719,34.6386,30.935,26.0143,37.3473,33.6426,24.8755,31.6805,29.5945,8.25032,2.45649,16.5353,19.3828,5.80977,21.4869,28.2488,23.5122,16.8885,40.1658,11.211,37.5105,29.9524,19.3479,20.5142,32.3533,29.5671,29.5668,55.4552,48.6275,38.5262,37.5722,66.0131,NotCR
NAALAD2,3.27979,4.46895,10.8886,1.04753,2.55764,1.43375,2.93089,3.29442,3.98058,6.0357,2.6988,3.18667,6.04768,5.83903,3.8569,7.11312,6.06577,5.86226,3.95254,4.82195,4.27808,1.31615,0.727772,12.1194,13.5658,2.54513,1.41511,2.98075,0.804145,2.42777,5.89994,1.35101,0.572802,1.11265,1.27658,0.463039,2.96837,1.37652,0.707108,8.94619,12.5367,0.376781,31.8404,3.7426,0.998924,0.862291,1.50121,3.59927,0.848149,26.2554,2.42633,9.77516,5.02346,0.13127,NotCR
